,Variable,ROTATE,THERMALMASS,WWR,SHADING_OVERHANG_PROJECTION,WINU,WINSHGC,ROOFR,WALLR,SCALE_X,Recommended,Baseline,EUI_kBtu_per_sqft,TEDI_kBtu_per_sqft,CEDI_kBtu_per_sqft,EDI_kBtu_per_sqft,peak_cooling_W_per_sqft,peak_heating_W_per_sqft
55,WINU,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
56,WINU,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
57,WINU,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
58,WINU,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
59,WINU,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
60,WINU,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
61,WINU,0.0,0.0,0.6,0.001,0.42,0.32,31.0,14.0,1.0,no,no,44.51664375,2.2060800000000005,20.264983,22.471063,3.7304090488540496,7.81514009459472
62,WINSHGC,0.0,0.0,0.6,0.001,0.36,0.25,31.0,14.0,1.0,no,no,43.91262447222222,1.997084,18.990720999999997,20.987804999999998,3.5099985201785224,7.536533995001977
63,WINSHGC,0.0,0.0,0.6,0.001,0.36,0.28,31.0,14.0,1.0,no,no,44.21332183333334,2.066493,19.72883,21.795323,3.600020703060979,7.573982076305579
64,WINSHGC,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
65,WINSHGC,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
66,WINSHGC,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
67,WINSHGC,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
68,WINSHGC,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
69,WINSHGC,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
70,WINSHGC,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
71,WINSHGC,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
72,WINSHGC,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
73,WINSHGC,0.0,0.0,0.6,0.001,0.36,0.36,31.0,14.0,1.0,no,no,44.88298675,2.222001,21.381911000000002,23.603912,3.8464022111001395,7.693062789544947
74,WINSHGC,0.0,0.0,0.6,0.001,0.36,0.4,31.0,14.0,1.0,no,no,45.24172291666667,2.313141,22.224484999999998,24.537625999999996,3.9650804141389626,7.704556707811299
75,ROOFR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
76,ROOFR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
77,ROOFR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
78,ROOFR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
79,ROOFR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
80,ROOFR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
81,ROOFR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
82,ROOFR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
83,ROOFR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
84,ROOFR,0.0,0.0,0.6,0.001,0.36,0.32,41.0,14.0,1.0,no,no,44.55868108333333,2.1341460000000003,20.605546999999998,22.739693,3.726161783585247,7.619048708562646
85,ROOFR,0.0,0.0,0.6,0.001,0.36,0.32,50.0,14.0,1.0,no,no,44.54725358333333,2.126109,20.590293000000003,22.716402000000002,3.727560640715813,7.601957382182213
86,WALLR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,5.0,1.0,no,no,44.69875513888889,2.3094620000000003,20.589513000000004,22.898975000000004,3.814356762402127,7.9929680318076795
87,WALLR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,10.0,1.0,no,no,44.60431327777778,2.19517,20.586558,22.781728,3.752745334372069,7.768432462352072
88,WALLR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
89,WALLR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
90,WALLR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
91,WALLR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
92,WALLR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
93,WALLR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
94,WALLR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
95,WALLR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
96,WALLR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
97,WALLR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,16.0,1.0,no,no,44.541741,2.1274379999999997,20.568736,22.696174,3.7101155184201215,7.6164345249121475
98,WALLR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,19.0,1.0,no,no,44.52165169444445,2.106283,20.570037000000003,22.676320000000004,3.6956481716084686,7.572619545705306
99,WALLR,0.0,0.0,0.6,0.001,0.36,0.32,31.0,22.0,1.0,no,no,44.49876836111111,2.092213,20.541829,22.634042,3.685646681900432,7.559848443776708
100,SCALE_X,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,0.2,no,no,47.70359716666667,3.9538410000000006,25.598634,29.552475,5.020257139561144,5.536908175837727
101,SCALE_X,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,0.4,no,no,45.545114361111104,2.594647,22.192645,24.787292,3.964076801902883,7.287491140047426
102,SCALE_X,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,0.6,no,no,44.77829644444445,2.223571,21.061215999999998,23.284786999999998,3.72458019176241,7.24666918122245
103,SCALE_X,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,0.8,no,no,44.51772205555555,2.1207380000000002,20.607158,22.727895999999998,3.68537811047422,7.461060240563114
104,SCALE_X,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
105,SCALE_X,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
106,SCALE_X,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
107,SCALE_X,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
108,SCALE_X,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
109,SCALE_X,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
110,SCALE_X,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
111,SCALE_X,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
112,SCALE_X,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
113,SCALE_X,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.2,no,no,44.7089505,2.216493,20.744754,22.961247,3.7953109666511122,7.833961523000767
114,SCALE_X,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.4,no,no,44.90153050000001,2.311794,20.957454,23.269247999999997,3.8919566596794506,8.094145439081911
